"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"U4,U5","2","TB67H450AFNG_EL","","","","TB67H450AFNG:P-HSOP8-0405-1.27-002_TOS","TB67H450AFNG_EL"
"U2","1","BD9C301FJ-E2","","","","BD9C301FJ:SOP-J8_ROM","https://fscdn.rohm.com/en/products/databook/datasheet/ic/power/switching_regulator/bd9c301fj-e.pdf"
"U1","1","TMPM4KNF10AFG","","","","TMPM4KNF10AFG:P-LQFP100-1414-0p50-002_TOS","TMPM4KNF10AFG"
"SW2","1","EVQ-PBG05R","","","","EVQ-PBG05R:EVQ-PBG05R_PAN","EVQ-PBG05R"
"SW1","1","CSS-1210MC","","","","CSS-1210MC:SW3_CSS-1210MC_NDC","CSS-1210MC"
"R19,R24,R28,R32","4","100","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R10,R11","2","0.22","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R6,R9,R14,R15,R16,R17,R20,R21,R23,R25,R27,R29,R31,R33","14","10K","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf"
"R5,R8,R18,R22,R26,R30","6","220","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf"
"R4","1","1K","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R3","1","2.4K","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R2","1","12.7K","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R1,R7","2","12K","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"Q1,Q2,Q3,Q4,Q5","5","NMOS","","","","SSM3K324R,LF:SOT-23F_TOS-M","https://toshiba.semicon-storage.com/info/SSM3K324R_datasheet_en_20250130.pdf?did=13879&prodName=SSM3K324R"
"L1","1","4.7uH","","","","1217AS-H-4R7N=P3:IND_1217AS-H-4R7N=P3","https://www.murata.com/~/media/webrenewal/products/inductor/chip/tokoproducts/wirewoundferritetypeforpl/m_dem8045c.ashx"
"J8","1","Conn_01x04_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"J6,J7","2","Conn_01x06_Pin","","","","Library:PAD_01x06_2.54mm",""
"J5","1","Conn_01x03_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"J4","1","Conn_01x06_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical",""
"J1,J2,J3","3","Conn_01x02_Socket","","","","Connector_JST:JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",""
"FB1","1","FerriteBead","","","","Inductor_SMD:L_0805_2012Metric_Pad1.05x1.20mm_HandSolder","https://pim.murata.com/asset/pim4/ferriteBeadInductortypefilter/ENFA0005_PDF_FERRITEBEADINDUCTORTYPEFILTER?lastModifiedDatetime=20260105172120"
"D3,D5,D7,D9","4","IR R","","","","LED_THT:LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm_IRBlack",""
"D2,D4,D6,D8","4","IR E","","","","LED_THT:LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm_Clear",""
"D1","1","CRZ10","DNP","","","Diode_SMD:D_SOD-123F","https://toshiba.semicon-storage.com/info/CRY68_datasheet_en_20141010.pdf?did=3175&prodName=CRY68"
"C23,C25,C34","3","10uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM21BZ71E106KE15-01.pdf"
"C9,C10,C22,C28,C30,C32","6","4.7uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C7,C8","2","22uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM21BZ71A226ME15-01.pdf"
"C6","1","2.2uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM21BR71E225KE11-01.pdf"
"C4","1","4700pF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C3,C5,C11,C12,C13,C14,C17,C18,C19,C20,C21,C24,C26,C27,C29,C31,C33,C35","18","0.1uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM21BR72A104KA37-01.pdf,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM21BZ71E106KE15-01.pdf"
"C1,C2","2","220uF","","","","20SVPG220M:CAP_20SVPG220M","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/7188/20SVPG.pdf"
